#binedges,7202,7203,7204,7206,7207,7208,7209,7211,7212,7213,7215,7216,7217,7218,7220,7221,7222,7223,7225,7227,7229,7231,7233,7234,7236,7238,7239,7240,7242,all,
0,24,15,12,16,42,1,45,24,36,18,7,8,21,11,5,16,23,5,2,23,48,15,30,15,15,64,13,4,38,596
0.25,42,22,15,32,34,8,71,34,57,35,11,10,32,30,22,32,31,9,16,54,41,29,61,10,18,49,32,34,31,902
0.5,29,19,10,18,25,15,28,31,28,28,10,10,23,22,10,22,24,14,13,33,30,27,37,8,23,26,18,26,17,624
0.75,31,22,8,12,20,5,31,24,15,21,14,7,17,14,14,16,22,13,13,30,25,24,33,15,17,26,18,24,7,538
1,19,6,10,11,10,5,20,22,21,22,8,6,12,14,12,14,14,6,12,29,16,13,19,6,9,17,7,19,10,389
1.25,10,14,8,4,15,4,9,12,16,10,5,3,17,16,11,11,11,8,13,28,20,4,19,8,16,16,9,17,6,340
1.5,14,10,9,4,10,5,7,9,12,9,5,3,9,6,5,5,9,6,6,9,9,8,8,3,8,14,8,7,7,224
1.75,8,4,5,3,8,2,9,2,7,9,3,2,6,4,9,2,4,6,10,15,13,9,6,0,12,10,8,7,2,185
2,9,3,9,5,3,2,8,6,9,7,1,2,9,4,2,4,5,11,5,12,5,3,2,5,9,2,6,9,5,162
2.25,6,5,7,4,7,0,9,10,8,3,4,4,6,8,6,1,2,5,5,4,6,4,3,0,7,6,4,7,4,145
2.5,6,3,4,2,7,5,8,5,4,3,5,5,5,7,4,5,0,1,1,2,4,4,5,1,4,5,3,4,3,115
2.75,4,8,2,5,4,1,7,0,3,5,3,3,0,1,3,5,2,4,3,4,5,3,3,0,5,2,1,3,1,90
3,3,0,2,4,1,3,5,6,3,2,1,3,3,4,5,3,3,3,2,2,3,4,2,3,4,5,2,2,1,84
3.25,2,8,2,3,5,2,3,1,2,5,2,2,3,7,3,0,1,1,0,1,3,4,4,1,2,3,0,2,5,77
3.5,1,2,2,3,1,2,1,1,2,4,2,0,1,1,2,0,3,3,4,2,2,2,3,1,1,2,2,1,3,54
3.75,2,4,1,6,1,0,1,1,0,2,4,1,1,1,4,2,3,1,0,3,2,1,2,1,4,1,1,1,0,51
4,0,3,1,0,1,0,0,2,5,0,2,0,3,1,2,4,0,4,0,0,1,1,1,1,3,0,0,1,1,37
4.25,1,4,5,5,1,0,1,1,1,1,1,1,2,1,0,0,3,3,3,2,4,3,2,1,0,4,1,3,0,54
4.5,0,1,3,1,1,0,2,0,1,0,0,1,0,1,0,4,0,4,1,0,0,0,2,1,2,3,0,2,0,30
4.75,2,2,1,1,2,0,0,1,2,0,0,0,1,0,0,2,2,1,0,3,1,1,1,2,3,0,1,0,1,30
5,2,2,1,2,0,0,2,0,2,1,0,2,0,2,2,2,3,2,0,3,1,1,1,0,2,1,1,1,0,36
5.25,1,4,2,1,1,0,1,0,2,2,0,0,0,1,0,0,4,0,0,0,1,1,0,0,1,0,0,0,0,22
5.5,1,1,1,1,0,0,1,0,2,1,0,1,1,2,0,1,0,5,0,0,1,1,2,0,1,1,0,2,0,26
5.75,1,1,0,0,2,0,1,0,0,2,1,0,0,0,1,0,1,4,4,0,0,0,0,0,0,1,2,0,0,21
6,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,2,0,0,0,0,0,0,1,0,15
6.25,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,1,0,1,1,2,0,16
6.5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,1,0,1,1,0,1,0,0,1,0,13
6.75,0,1,2,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,13
7,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
7.25,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,9
7.5,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,10
7.75,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
8.25,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,9
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,5
8.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4
9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
9.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,5
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
9.75,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
10,2,1,3,3,1,0,1,1,0,2,1,0,0,2,1,1,0,0,4,0,1,4,0,0,2,0,2,0,0,32
