#less(on1;_on2;_5),cevent_inhand_child,,,,cevent_eye_roi_child,,,,,
#subid,onset,offset,cat,index,onset,offset,cat,index,trialid,pairid
7106,56.1,63.167,2,4,58.167,58.233,2,7,1,1
7106,59.767,61.5,2,5,60.1,60.7,2,9,1,1
7106,64.733,68.067,1,8,69.5,69.767,1,12,1,1
7106,69.733,69.933,1,11,72.5,72.933,1,15,1,1
7106,72.133,75.9,2,13,72.967,76.333,2,16,1,1
7106,74.533,76.667,2,14,76.433,76.6,2,17,1,1
7106,78.7,78.867,3,15,80.167,80.9,3,20,1,1
7106,94.267,101.17,2,19,94.5,95.833,2,24,1,1
7106,101.77,104.03,1,22,104.03,105.7,1,26,1,1
7106,104.7,105.8,1,23,105.83,105.93,1,27,1,1
7106,107.77,108.1,1,24,111.53,112.4,1,29,1,1
7106,113.87,114.03,2,26,117.23,117.63,2,32,1,1
7106,135.73,137.63,3,34,137.37,137.77,3,34,2,1
7106,137.47,140.07,3,35,137.93,140.33,3,35,2,1
7106,138.27,145.7,3,36,140.43,140.7,3,36,2,1
7106,147.23,152.87,3,38,150.17,152.6,4,44,2,2
7106,156.57,161.73,2,39,159.53,161.2,2,50,2,1
7106,161.93,162.1,2,41,165.57,166.43,2,52,2,1
7106,168.13,183.23,1,46,172.57,173.7,1,54,2,1
7106,183.53,186.03,3,49,187.53,190.23,4,59,2,2
7106,193.2,196.03,1,51,196.97,206.27,1,66,2,1
7106,205,212.37,1,55,208.93,213.43,1,67,2,1
7106,212.73,213.73,1,56,214.43,217.13,1,68,2,1
7106,217.4,217.47,3,57,218.27,219.9,3,70,2,1
7106,218.03,218.1,2,58,219.97,220.37,2,71,2,1
7106,220.83,220.93,3,59,222.03,222.5,4,76,2,2
7106,220.97,221.3,1,60,221.13,221.7,1,74,2,1
7106,222.43,224.83,1,61,222.57,227.33,1,77,2,1
7106,258.53,259.37,1,69,260.17,260.4,1,80,3,1
7106,277.8,280,2,71,281.5,281.6,2,84,3,1
7106,312.33,316.07,1,74,315.93,317.13,1,96,3,1
7106,329.03,330.2,2,76,331.83,332.8,4,101,3,2
7106,362.47,364.97,2,80,366.67,366.83,2,106,4,1
7106,382.07,389.1,3,81,382.93,384.07,3,113,4,1
7107,30,30.633,1,1,34.233,34.633,4,6,1,2
7107,36.533,36.633,3,4,36.533,38.433,3,10,1,1
7107,36.833,36.9,3,5,39.667,41.067,3,12,1,1
7107,40.633,48.467,3,6,41.167,41.933,4,13,1,2
7107,78.867,79.433,1,9,83.7,84.433,1,33,1,1
7107,93.467,100.37,2,12,95.067,97.633,4,38,1,2
7107,110.33,114.43,1,13,113.13,113.83,4,51,1,2
