#timerange,7202,7203,7204,7206,7207,7208,7209,7211,7212,7213,7215,7216,7217,7218,7220,7221,7222,7223,7225,7227,7229,7231,7233,7234,7236,7238,7239,7240,7242,meanallsub
-10,0.20863,0.12885,0.22452,0.18107,0.20521,0.045254,0.19142,0.14101,0.17651,0.18565,0.17787,0.12042,0.1511,0.15035,0.22254,0.14565,0.1989,0.2044,0.19153,0.21074,0.16774,0.18018,0.24682,0.17264,0.20299,0.14039,0.14163,0.156,0.082521,0.17078
-9.9667,0.20893,0.1287,0.22512,0.18139,0.20656,0.045605,0.19217,0.14154,0.17653,0.18489,0.17877,0.11906,0.15198,0.15118,0.22181,0.14522,0.19768,0.20413,0.19168,0.21025,0.16747,0.18059,0.24625,0.17357,0.20358,0.13973,0.14226,0.15754,0.083022,0.17094
-9.9333,0.20885,0.12875,0.22553,0.18142,0.20743,0.046048,0.19237,0.14218,0.17638,0.18384,0.17987,0.11806,0.15298,0.15221,0.22167,0.14492,0.1967,0.20385,0.19171,0.21007,0.1673,0.18071,0.24549,0.1745,0.20398,0.13918,0.14278,0.15908,0.083522,0.17108
-9.9,0.20858,0.1287,0.22613,0.18135,0.20821,0.046398,0.19257,0.14262,0.17613,0.18328,0.18097,0.11744,0.15327,0.15344,0.22169,0.1445,0.19586,0.20348,0.19173,0.21019,0.16733,0.18092,0.24455,0.17544,0.20437,0.13902,0.14341,0.16043,0.084156,0.17125
-9.8667,0.20841,0.12846,0.22643,0.18108,0.2087,0.046749,0.19268,0.14286,0.17607,0.18281,0.18226,0.11682,0.15343,0.15426,0.22141,0.14431,0.19539,0.20301,0.19176,0.2102,0.16757,0.18133,0.24369,0.17616,0.20487,0.13966,0.1437,0.16157,0.084922,0.1714
-9.8333,0.20814,0.12841,0.22664,0.18092,0.209,0.047007,0.1927,0.1431,0.17573,0.18206,0.18394,0.11638,0.15336,0.15489,0.22053,0.14436,0.19492,0.20245,0.19202,0.21012,0.1677,0.18145,0.24313,0.17649,0.20526,0.14021,0.14388,0.1626,0.085688,0.17149
-9.8,0.20768,0.12836,0.22645,0.18046,0.20892,0.047265,0.19254,0.14324,0.17558,0.1813,0.18562,0.11632,0.15305,0.15552,0.2198,0.14476,0.19444,0.20198,0.19216,0.21013,0.16815,0.18166,0.24285,0.17602,0.20557,0.14005,0.14383,0.16354,0.086453,0.17151
-9.7667,0.20732,0.1286,0.22616,0.1799,0.20875,0.047339,0.1931,0.14338,0.17542,0.18045,0.18671,0.11607,0.15262,0.15625,0.21952,0.14517,0.19397,0.20132,0.19231,0.21035,0.16889,0.18197,0.24256,0.17496,0.20587,0.1396,0.14401,0.16448,0.087217,0.17153
-9.7333,0.20696,0.12874,0.22529,0.17915,0.20867,0.047506,0.19366,0.14332,0.17481,0.17979,0.1878,0.11526,0.15255,0.15698,0.21909,0.14604,0.19363,0.20076,0.19245,0.21097,0.16995,0.18228,0.24228,0.17409,0.20626,0.13875,0.1443,0.16521,0.087315,0.17151
-9.7,0.20669,0.12907,0.22383,0.1787,0.20878,0.047671,0.19431,0.14317,0.17457,0.17943,0.18831,0.11483,0.15212,0.15771,0.21866,0.14762,0.19303,0.20019,0.19259,0.21179,0.17069,0.18297,0.24181,0.17262,0.20647,0.13789,0.1447,0.16565,0.087014,0.17148
-9.6667,0.20614,0.12931,0.22256,0.17824,0.20813,0.047654,0.19478,0.14331,0.1745,0.17907,0.18921,0.1144,0.15193,0.15843,0.21823,0.14932,0.19269,0.19963,0.19274,0.21231,0.17174,0.18346,0.24163,0.17175,0.2063,0.13704,0.14601,0.16528,0.087379,0.17149
