pad1,pad2,pad3,onset,offset,category
0,0,0,30,31,1
0,0,0,31.067,31.767,4
0,0,0,31.867,32.333,1
0,0,0,32.4,33.2,4
0,0,0,33.233,33.4,1
0,0,0,33.467,35.533,4
0,0,0,35.633,35.833,1
0,0,0,35.9,35.967,3
0,0,0,36.033,37.267,1
0,0,0,37.333,37.533,4
0,0,0,37.6,37.667,3
0,0,0,37.7,38,1
0,0,0,38.067,38.3,4
0,0,0,38.733,40.3,4
0,0,0,40.433,41.733,3
0,0,0,41.8,42.033,1
0,0,0,42.133,43.2,4
0,0,0,43.3,44.933,3
0,0,0,45,45.433,4
0,0,0,45.533,46.967,3
0,0,0,47.133,47.533,4
0,0,0,47.9,48.1,2
0,0,0,48.233,48.933,4
0,0,0,49.033,49.333,2
0,0,0,49.6,50,3
0,0,0,50.067,50.233,2
0,0,0,50.3,50.967,4
0,0,0,51.033,51.867,2
0,0,0,51.933,52.233,4
0,0,0,52.333,53.067,2
0,0,0,53.133,53.833,4
0,0,0,53.967,54.433,2
0,0,0,54.533,54.833,4
0,0,0,54.867,56.133,2
0,0,0,56.167,56.6,4
0,0,0,56.633,56.7,2
0,0,0,56.733,58.8,4
0,0,0,58.867,59.133,2
0,0,0,59.167,60.233,4
0,0,0,60.3,60.7,1
0,0,0,60.767,60.867,3
0,0,0,60.933,61.267,1
0,0,0,61.333,61.567,2
0,0,0,61.633,61.733,1
0,0,0,61.8,66.567,4
0,0,0,67.267,67.6,4
0,0,0,67.633,67.833,3
0,0,0,67.867,68.9,4
0,0,0,68.933,69.267,3
0,0,0,69.333,69.633,4
0,0,0,69.7,70.2,3
0,0,0,70.233,70.3,4
0,0,0,70.333,70.5,3
0,0,0,70.533,71.567,4
0,0,0,71.633,71.8,3
0,0,0,71.867,74.967,4
0,0,0,75.333,75.9,4
0,0,0,76.4,78.1,4
0,0,0,78.167,78.667,1
0,0,0,78.767,79.133,4
0,0,0,79.2,80.2,1
0,0,0,80.3,80.733,4
0,0,0,80.833,81.2,1
0,0,0,81.3,81.9,4
0,0,0,82,84.533,1
0,0,0,84.633,85.5,4
0,0,0,85.6,86.067,1
0,0,0,86.133,86.833,1
0,0,0,87,90.067,4
0,0,0,92.067,92.967,1
0,0,0,93.133,93.5,4
0,0,0,93.567,94.1,1
0,0,0,94.2,94.933,4
0,0,0,104.5,104.83,4
0,0,0,105.43,105.83,1
0,0,0,106.07,106.53,1
0,0,0,106.57,107.47,4
0,0,0,107.57,108.97,1
0,0,0,110.4,110.6,2
0,0,0,111,111.07,4
0,0,0,111.17,111.57,3
0,0,0,111.73,111.9,4
0,0,0,111.97,112.4,1
0,0,0,112.47,112.93,4
0,0,0,113.03,113.23,1
0,0,0,113.33,118.3,4
0,0,0,118.37,119.8,2
0,0,0,119.83,119.97,1
0,0,0,120.1,121.43,4
0,0,0,121.5,121.6,2
0,0,0,121.63,123.1,4
0,0,0,123.63,124.03,4
0,0,0,124.17,124.23,4
0,0,0,124.4,124.6,4
0,0,0,127.3,128.3,4
0,0,0,128.33,128.47,2
0,0,0,128.83,132,4
0,0,0,132.17,132.27,4
0,0,0,133.67,134.27,4
0,0,0,134.33,134.47,4
0,0,0,135.07,136.53,4
0,0,0,136.73,137.27,4
0,0,0,138.07,138.1,4
0,0,0,138.37,139,4
0,0,0,139.07,139.2,1
0,0,0,139.23,139.87,4
0,0,0,139.93,140.77,4
0,0,0,140.8,140.83,2
0,0,0,140.87,143.8,4
0,0,0,143.83,144,2
0,0,0,144.27,144.3,2
0,0,0,144.53,144.97,4
0,0,0,145.7,145.97,4
0,0,0,147.4,147.63,4
0,0,0,147.73,148.23,3
0,0,0,148.33,148.63,4
0,0,0,148.73,149.4,3
0,0,0,149.53,150.7,4
0,0,0,150.87,150.93,3
0,0,0,151.1,151.13,3
0,0,0,151.23,151.73,3
0,0,0,151.8,153.47,4
0,0,0,153.53,153.67,3
0,0,0,154.07,154.87,4
0,0,0,155.17,155.8,4
0,0,0,156.7,156.87,4
0,0,0,157,157.3,3
0,0,0,157.43,158.5,4
0,0,0,158.57,159.07,3
0,0,0,159.13,159.5,4
0,0,0,159.6,159.7,3
0,0,0,159.73,161.73,4
0,0,0,163.5,163.73,4
0,0,0,163.93,164.57,4
0,0,0,164.97,165.37,4
0,0,0,165.47,165.83,2
0,0,0,165.93,166.83,4
0,0,0,167.13,167.5,4
0,0,0,167.6,167.93,2
0,0,0,168.7,169.67,4
0,0,0,169.97,170.17,2
0,0,0,170.23,173.1,4
